Name,Capacity in Pallets,Gateway Serial,License Plate,Make,Model,Year,Vin
1928,9,GRK8-SAM-GXD,13263MN,HINO,CONVENTIONAL TYPE TRUCK,2019,5PVNV8JT0K4S55144
FB-1,9,GUZN-AM7-7V9,70206MN,HINO,CONVENTIONAL TYPE TRUCK,2016,5PVNJ8JVXG4S62767
1924,9,GNAY-WVV-SHK,94300ML,HINO,CONVENTIONAL TYPE TRUCK,2019,5PVNJ8JT3K4S58776
FB-3,9,GJDC-YWP-5Z7,82956NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AV3N5T50626
FB-7,9,GHX5-CRN-38W,82957NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AV7N5T50631
FB-8,9,G8HF-7XV-RWY,82954NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AV2N5T50634
FB-11,9,GX6Z-MUX-57G,82955NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AV5N5T50627
FB-10,9,G3FD-3J3-YPF,82958NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AV8N5T50637
FB-12,9,G8YB-6TC-YCN,82966NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AV5N5T50630
FB-301,9,GNFG-MZ3-GCS,,HINO,INCOMPLETE VEHICLE,2023,5PVNV7AV0P5T50297
FB-204,9,GJGN-YNE-C54,67516ND,HINO,INCOMPLETE VEHICLE,2023,5PVNV7AV1P5T50292
FB-205,9,G9TX-7P3-M23,24041NE,HINO,INCOMPLETE VEHICLE,2024,5PVNV7AV0R5T50514
FB-211,9,GW8Z-M8M-UM7,23250NF,HINO,INCOMPLETE VEHICLE,2024,5PVNV7AV1R5T50697
FB-210,9,GUU8-HUK-F2C,23226NF,HINO,INCOMPLETE VEHICLE,2024,5PVNV7AVXR5T50682
FB-212,9,GU9Z-GTV-3FW,57719NF,HINO,INCOMPLETE VEHICLE,2024,5PVNV7AV4R5T50709
FB-203,9,GA3N-GWP-KN7,67517ND,HINO,INCOMPLETE VEHICLE,2023,5PVNV7AV2P5T50298
FB-9,9,GRGC-N73-VY2,82960NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AVXN5T50641
FB-6,9,G3S2-FWT-737,82951NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AV8N5T50640
FB-209,9,GC8T-WVH-BDM,21192NF,HINO,INCOMPLETE VEHICLE,2024,5PVNV7AVXR5T50701
FB-206,9,G9XY-JGY-963,86200NE,HINO,INCOMPLETE VEHICLE,2024,5PVNV7AV8R5T50650
FB-201,9,GAW5-TW4-U5V,67501ND,HINO,INCOMPLETE VEHICLE,2023,5PVNV7AVXP5T50291
2076,9,GDE6-WW9-HY9,20459NB,HINO,CONVENTIONAL TYPE TRUCK,2020,5PVNJ8JV9L5S79208
FB-202,9,G3XD-KJZ-HWM,67511ND,HINO,INCOMPLETE VEHICLE,2023,5PVNV7AV9P5T50301
FB-4,9,G32Y-CAY-DSJ,82950NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AVXN5T50638
1934,9,GJ9Y-UAG-8BG,1326MN,HINO,CONVENTIONAL TYPE TRUCK,2019,5PVNJ8JT7K4S58957
FB-303,9,G49R-NV3-RYR,24027NE,HINO,INCOMPLETE VEHICLE,2023,5PVNV7AV7P5T50295
FB-302,9,G7GN-KJY-K92,24026NE,HINO,INCOMPLETE VEHICLE,2023,5PVNV7AV3P5T50293
FB-5,9,G24B-3DH-G2E,80474NB,HINO,INCOMPLETE VEHICLE,2022,5PVNJ7AV7N5T50628
FB-2,9,G9HX-M2S-M32,48896MN,HINO,CONVENTIONAL TYPE TRUCK,2019,5PVNJ8JV6K4S74861
FB-208,9,G5FW-NBF-P2U,20822NF,HINO,INCOMPLETE VEHICLE,2024,5PVNV7AVXR5T50696
1677,9,GZ27-GCT-AZR,57587PC,HINO,CONVENTIONAL TYPE TRUCK,2016,5PVNV8JV5G4S56220
1873,9,G2TV-6EG-KBZ,41523ML,HINO,CONVENTIONAL TYPE TRUCK,2018,5PVNJ8JTXJ4S58255
FB-207,9,G5WW-77B-B4P,86203NE,HINO,INCOMPLETE VEHICLE,2024,5PVNV7AV1R5T50666
1927,9,GFX9-983-Z2B,13274MN,HINO,CONVENTIONAL TYPE TRUCK,2019,5PVNJ8JT5K4S58956
1923,9,G5FP-TR5-T6W,94299ML,HINO,CONVENTIONAL TYPE TRUCK,2019,5PVNJ8JT7K4S58778
FB-101,21,GB4J-V8N-B77,13848BR,VOLVO TRUCK,VNR,2020,4V4WC9EH1LN266580
FB-104,21,GFU3-93C-JJ8,14126BR,VOLVO TRUCK,VNR,2020,4V4WC9EHXLN260485
FB-103,21,GMBT-VFZ-6G7,14125BR,VOLVO TRUCK,VNL,2020,4V4NC9EGXLN265866
FB-102,21,GZHG-3XG-5FC,13849BR,VOLVO TRUCK,VNR,2020,4V4WC9EH4LN260448
